,predicted_mean
0,24810.039058947896
1,24815.901202621113
2,24789.739398720438
3,24823.264407039987
4,24797.307063697335
5,24805.30770733319
6,24817.086486820346
7,24792.29201047815
8,24818.391254530085
9,24802.220045165795
10,24802.45121731831
11,24816.851255664773
12,24795.24580118345
13,24814.217157131752
14,24805.728653507806
15,24801.043921029795
16,24815.743286602967
17,24798.175003652366
18,24810.875277806044
19,24808.023220802686
20,24800.68162837767
21,24814.189572219886
22,24800.813723855375
23,24808.371370922778
24,24809.337616570567
25,24801.011624071063
26,24812.500933362844
27,24803.021738353236
28,24806.630392481795
29,24809.911180088602
30,24801.746731104184
31,24810.88583127566
32,24804.75115121577
33,24805.533446513
34,24809.96422701706
35,24802.668016997337
36,24809.46867775644
37,24806.016722600183
38,24804.94517544438
39,24809.684406291137
40,24803.620091737335
41,24808.30925978596
42,24806.871295760415
43,24804.732559457425
44,24809.221172706155
45,24804.502180456468
46,24807.421042607857
47,24807.386742609156
48,24804.776539246057
49,24808.685890713037
50,24805.257372600525
51,24806.787048022154
52,24807.640174397115
53,24804.978026897184
54,24808.155475722673
55,24805.861731705485
56,24806.372714585694
57,24807.704763574486
58,24805.25981739452
59,24807.677921938055
60,24806.31433974165
61,24806.135649317963
62,24807.64433200548
63,24805.565738361143
64,24807.27849960904
65,24806.62886480412
66,24806.03250579135
67,24807.510819769654
68,24805.85813991539
69,24806.965792176525
70,24806.826880025714
71,24806.023406337583
72,24807.34380615252
73,24806.114574571107
74,24806.737065791644
75,24806.9329128531
76,24806.074402069222
77,24807.171368335476
78,24806.324278615593
79,24806.582714189422
80,24806.971049099706
81,24806.158465920566
82,24807.011702125375
83,24806.484858761156
84,24806.489703818315
85,24806.962835206497
86,24806.25546837072
87,24806.87507055951
88,24806.5994191611
89,24806.44406577493
90,24806.92619521497
91,24806.351514609556
92,24806.76577611334
93,24806.674235539067
94,24806.43255335257
95,24806.875088609704
96,24806.437941685956
97,24806.683962625426
98,24806.716992312635
99,24806.443618376485
